Node,OH,
SM1      ,A ,
SM2      ,A ,
SM3      ,A ,
SM4      ,A ,
SM5      ,A ,
SM6      ,A ,
SM7      ,A ,
SM8      ,A ,
SM9      ,A ,
SM10     ,A ,
SM11     ,A ,
SM12     ,A ,
SM13     ,A ,
SM14     ,A ,
SM15     ,A ,
SM16     ,A ,
SM17     ,A ,
SM18     ,A ,
SM19     ,A ,
SM20     ,A ,
SM21     ,A ,
SM22     ,A ,
SM23     ,A ,
SM24     ,A ,
SM25     ,A ,
SM26     ,A ,
SM27     ,A ,
SM28     ,A ,
SM29     ,A ,
SM30     ,A ,
SM31     ,A ,
SM32     ,A ,
SM33     ,A ,
SM34     ,A ,
SM35     ,A ,
SM36     ,A ,
SM37     ,A ,
SM38     ,A ,
SM39     ,A ,
SM40     ,A ,
SM41     ,A ,
SM42     ,A ,
SM43     ,A ,
SM44     ,A ,
SM45     ,A ,
SM46     ,A ,
SM47     ,A ,
SM48     ,A ,
SM49     ,A ,
SM50     ,A ,
SM51     ,A ,
SM52     ,A ,
SM53     ,A ,
SM54     ,A ,
SM55     ,A ,
SM56     ,A ,
SM57     ,A ,
SM58     ,A ,
SM59     ,A ,
SM60     ,A ,
SM61     ,A ,
SM62     ,A ,
SM63     ,A ,
SM64     ,A ,
SM65     ,A ,
SM66     ,A ,
SM67     ,A ,
SM68     ,A ,
SM69     ,A ,
SM70     ,A ,
SM71     ,A ,
SM72     ,A ,
SM73     ,A ,
SM74     ,A ,
SM75     ,A ,
SM76     ,A ,
SM77     ,A ,
SM78     ,A ,
SM79     ,A ,
SM80     ,A ,
SM81     ,A ,
SM82     ,A ,
SM83     ,A ,
SM84     ,A ,
SM85     ,A ,
SM86     ,A ,
SM87     ,A ,
SM88     ,A ,
SM89     ,A ,
SM90     ,A ,
SM91     ,A ,
SM92     ,A ,
SM93     ,A ,
SM94     ,A ,
SM95     ,A ,
SM96     ,A ,
SM97     ,A ,
SM98     ,A ,
SM99     ,A ,
SM100    ,A ,
SM101    ,A ,
SM102    ,A ,
SM103    ,A ,
SM104    ,A ,
SM105    ,A ,
SM106    ,A ,
SM107    ,A ,
SM108    ,A ,
SM109    ,A ,
SM110    ,A ,
SM111    ,A ,
SM112    ,A ,
SM113    ,A ,
SM114    ,A ,
SM115    ,A ,
SM116    ,A ,
SM117    ,A ,
SM118    ,A ,
SM119    ,A ,
SM120    ,A ,
SM121    ,A ,
SM122    ,A ,
SM123    ,A ,
SM124    ,A ,
SM125    ,A ,
SM126    ,A ,
SM127    ,A ,
SM128    ,A ,
SM129    ,A ,
SM130    ,A ,
SM131    ,A ,
SM132    ,A ,
SM133    ,A ,
SM134    ,A ,
SM135    ,A ,
SM136    ,A ,
SM137    ,A ,
SM138    ,A ,
SM139    ,A ,
SM140    ,A ,
SM141    ,A ,
SM142    ,A ,
SM143    ,A ,
SM144    ,A ,
SM145    ,A ,
SM146    ,A ,
SM147    ,A ,
SM148    ,A ,
SM149    ,A ,
SM150    ,A ,
SM151    ,A ,
SM152    ,A ,
SM153    ,A ,
SM154    ,A ,
SM155    ,A ,
SM156    ,A ,
SM157    ,A ,
SM158    ,A ,
SM159    ,A ,
SM160    ,A ,
SM161    ,A ,
SM162    ,A ,
SM163    ,A ,
SM164    ,A ,
SM165    ,A ,
SM167    ,A ,
SM168    ,A ,
SM169    ,A ,
SM170    ,A ,
SM171    ,A ,
SM172    ,A ,
SM173    ,A ,
SM174    ,A ,
SM175    ,A ,
SM176    ,A ,
SM177    ,A ,
SM178    ,A ,
SM179    ,A ,
SM180    ,A ,
SM181    ,A ,
SM182    ,A ,
SM183    ,A ,
SM184    ,A ,
SM185    ,A ,
SM186    ,A ,
SM187    ,A ,
SM188    ,A ,
SM189    ,A ,
SM190    ,A ,
SM191    ,A ,
SM192    ,A ,
SM193    ,A ,
SM194    ,A ,
SM195    ,A ,
SM196    ,A ,
SM197    ,A ,
SM198    ,A ,
SM199    ,A ,
SM200    ,A ,
SM201    ,A ,
SM202    ,A ,
SM203    ,A ,
SM204    ,A ,
SM205    ,A ,
SM206    ,A ,
SM207    ,A ,
SM208    ,A ,
SM209    ,A ,
SM210    ,A ,
SM211    ,A ,
SM212    ,A ,
SM213    ,A ,
SM214    ,A ,
SM215    ,A ,
SM216    ,A ,
SM217    ,A ,
SM218    ,A ,
SM219    ,A ,
SM220    ,A ,
SM221    ,A ,
SM222    ,A ,
SM223    ,A ,
SM225    ,A ,
SM226    ,A ,
SM227    ,A ,
SM228    ,A ,
SM229    ,A ,
SM230    ,A ,
SM231    ,A ,
SM232    ,A ,
SM233    ,A ,
SM234    ,A ,
SM235    ,A ,
SM236    ,A ,
SM237    ,A ,
SM238    ,A ,
SM239    ,A ,
SM240    ,A ,
SM241    ,A ,
SM242    ,A ,
SM243    ,A ,
SM244    ,A ,
SM245    ,A ,
SM246    ,A ,
SM247    ,A ,
SM248    ,A ,
SM249    ,A ,
SM250    ,A ,
SM251    ,A ,
SM252    ,A ,
SM253    ,A ,
SM255    ,A ,
SM256    ,A ,
SM257    ,A ,
SM258    ,A ,
SM259    ,A ,
SM260    ,A ,
SM261    ,A ,
SM262    ,A ,
SM263    ,A ,
SM264    ,A ,
SM265    ,A ,
SM266    ,A ,
SM267    ,A ,
SM268    ,A ,
SM269    ,A ,
SM270    ,A ,
SM271    ,A ,
SM272    ,A ,
SM273    ,A ,
SM274    ,A ,
SM275    ,A ,
SM276    ,A ,
SM277    ,A ,
SM278    ,A ,
SM279    ,A ,
SM280    ,A ,
SM281    ,A ,
SM282    ,A ,
SM283    ,A ,
SM284    ,A ,
SM285    ,A ,
SM286    ,A ,
SM287    ,A ,
SM288    ,A ,
SM289    ,A ,
SM290    ,A ,
SM291    ,A ,
SM292    ,A ,
SM293    ,A ,
SM294    ,A ,
SM295    ,A ,
SM296    ,A ,
SM297    ,A ,
SM298    ,A ,
SM299    ,A ,
SM300    ,A ,
SM301    ,A ,
SM302    ,A ,
SM303    ,A ,
SM304    ,A ,
SM305    ,A ,
SM306    ,A ,
SM307    ,A ,
SM308    ,A ,
SM309    ,A ,
SM310    ,A ,
SM311    ,A ,
SM312    ,A ,
SM313    ,A ,
SM314    ,A ,
SM315    ,A ,
SM316    ,A ,
SM317    ,A ,
SM318    ,A ,
SM319    ,A ,
SM320    ,A ,
SM321    ,A ,
SM322    ,A ,
SM323    ,A ,
SM324    ,A ,
SM325    ,A ,
SM326    ,A ,
SM327    ,A ,
SM328    ,A ,
SM329    ,A ,
SM330    ,A ,
SM331    ,A ,
SM332    ,A ,
SM333    ,A ,
SM334    ,A ,
SM335    ,A ,
SM336    ,A ,
SM337    ,A ,
SM338    ,A ,
SM339    ,A ,
SM340    ,A ,
SM341    ,A ,
SM342    ,A ,
SM343    ,A ,
SM344    ,A ,
SM345    ,A ,
SM346    ,A ,
SM347    ,A ,
SM348    ,A ,
SM349    ,S ,
SM350    ,A ,
SM351    ,A ,
SM352    ,A ,
SM353    ,A ,
SM354    ,A ,
SM355    ,A ,
SM356    ,A ,
SM357    ,A ,
SM358    ,A ,
SM359    ,A ,
SM360    ,A ,
SM361    ,A ,
SM362    ,A ,
SM363    ,A ,
SM364    ,A ,
SM365    ,A ,
SM366    ,A ,
SM367    ,A ,
SM368    ,S ,
SM369    ,A ,
SM370    ,A ,
SM371    ,A ,
SM372    ,A ,
SM373    ,A ,
SM374    ,A ,
SM375    ,A ,
SM376    ,A ,
SM377    ,A ,
SM378    ,A ,
SM379    ,A ,
SM380    ,A ,
SM381    ,A ,
SM382    ,A ,
SM383    ,A ,
SM384    ,S ,
SM385    ,A ,
SM386    ,A ,
SM387    ,A ,
SM388    ,A ,
SM389    ,A ,
SM390    ,A ,
SM391    ,A ,
SM392    ,A ,
SM393    ,A ,
SM394    ,A ,
SM395    ,A ,
SM396    ,A ,
SM397    ,A ,
SM398    ,A ,
SM399    ,A ,
SM400    ,A ,
SM401    ,A ,
SM402    ,A ,
SM403    ,A ,
SM404    ,S ,
SM405    ,S ,
SM406    ,A ,
SM407    ,A ,
SM408    ,A ,
SM409    ,A ,
SM410    ,A ,
SM411    ,A ,
SM412    ,A ,
SM413    ,A ,
SM414    ,A ,
SM415    ,A ,
SM416    ,S ,
SM417    ,A ,
SM418    ,S ,
SM419    ,S ,
SM420    ,A ,
SM421    ,A ,
SM422    ,A ,
SM423    ,A ,
SM424    ,A ,
SM425    ,A ,
SM426    ,S ,
SM427    ,A ,
SM428    ,A ,
SM429    ,A ,
SM430    ,A ,
SM431    ,A ,
SM432    ,S ,
SM433    ,A ,
SM434    ,S ,
SM435    ,A ,
SM436    ,S ,
SM437    ,S ,
SM438    ,S ,
SM439    ,S ,
SM440    ,S ,
SM441    ,A ,
SM442    ,A ,
SM443    ,A ,
SM444    ,S ,
SM445    ,A ,
SM446    ,A ,
SM447    ,A ,
SM448    ,A ,
SM449    ,A ,
SM451    ,A ,
SM452    ,S ,
SM453    ,A ,
SM454    ,A ,
SM455    ,A ,
SM456    ,A ,
SM457    ,A ,
SM458    ,S ,
SM459    ,S ,
SM460    ,A ,
SM461    ,A ,
SM462    ,A ,
SM463    ,S ,
SM464    ,S ,
SM465    ,A ,
SM466    ,S ,
SM467    ,A ,
SM468    ,A ,
SM469    ,A ,
SM470    ,A ,
SM471    ,S ,
SM472    ,A ,
SM473    ,A ,
SM474    ,A ,
SM475    ,S ,
SM476    ,A ,
SM477    ,S ,
SM478    ,A ,
SM479    ,A ,
SM480    ,A ,
SM481    ,A ,
SM482    ,A ,
SM483    ,S ,
SM484    ,A ,
SM485    ,A ,
SM486    ,A ,
SM487    ,A ,
SM488    ,S ,
SM489    ,A ,
SM490    ,S ,
SM491    ,A ,
SM492    ,A ,
SM493    ,A ,
SM494    ,A ,
SM495    ,A ,
SM496    ,S ,
SM497    ,S ,
SM498    ,A ,
SM499    ,A ,
SM500    ,A ,
SM501    ,A ,
SM502    ,A ,
SM503    ,S ,
SM504    ,A ,
SM505    ,S ,
SM506    ,S ,
SM507    ,A ,
SM508    ,A ,
SM509    ,A ,
SM510    ,A ,
SM511    ,A ,
SM512    ,A ,
SM513    ,A ,
SM514    ,A ,
SM515    ,A ,
SM516    ,A ,
SM517    ,A ,
SM518    ,S ,
SM519    ,A ,
SM520    ,A ,
SM521    ,S ,
SM522    ,A ,
SM523    ,A ,
SM524    ,A ,
SM525    ,S ,
SM526    ,A ,
SM527    ,S ,
SM528    ,A ,
SM529    ,A ,
SM530    ,S ,
SM531    ,A ,
SM532    ,A ,
SM533    ,A ,
SM534    ,A ,
SM535    ,A ,
SM536    ,S ,
SM537    ,A ,
SM538    ,S ,
SM539    ,A ,
SM540    ,A ,
SM541    ,A ,
SM542    ,A ,
SM543    ,A ,
SM544    ,A ,
SM545    ,S ,
SM546    ,S ,
SM547    ,S ,
SM548    ,A ,
SM549    ,A ,
SM550    ,A ,
SM551    ,A ,
SM552    ,A ,
SM553    ,A ,
SM554    ,A ,
SM555    ,S ,
SM556    ,A ,
SM557    ,A ,
SM558    ,A ,
SM559    ,A ,
SM560    ,A ,
SM561    ,A ,
SM562    ,A ,
SM563    ,S ,
SM564    ,S ,
SM565    ,A ,
SM566    ,A ,
SM567    ,A ,
SM568    ,S ,
SM569    ,A ,
SM570    ,S ,
SM571    ,S ,
SM572    ,A ,
SM573    ,S ,
SM574    ,S ,
SM575    ,A ,
SM576    ,A ,
SM577    ,A ,
SM578    ,S ,
SM579    ,A ,
SM580    ,A ,
SM581    ,S ,
SM582    ,A ,
SM583    ,A ,
SM584    ,A ,
SM585    ,A ,
SM586    ,S ,
SM587    ,S ,
SM588    ,A ,
SM589    ,A ,
SM590    ,A ,
SM591    ,A ,
SM592    ,S ,
SM593    ,A ,
SM594    ,A ,
SM595    ,S ,
SM596    ,A ,
SM597    ,S ,
SM598    ,A ,
SM599    ,A ,
SM600    ,S ,
SM601    ,A ,
SM602    ,S ,
SM603    ,A ,
SM604    ,A ,
SM605    ,S ,
SM606    ,A ,
SM607    ,A ,
SM608    ,A ,
SM609    ,A ,
SM610    ,A ,
SM611    ,S ,
SM612    ,A ,
SM613    ,S ,
SM614    ,S ,
SM615    ,A ,
SM616    ,S ,
SM617    ,A ,
SM618    ,A ,
SM619    ,A ,
SM620    ,S ,
SM621    ,S ,
SM622    ,S ,
SM623    ,S ,
SM624    ,A ,
SM625    ,A ,
SM626    ,A ,
SM627    ,A ,
SM628    ,A ,
SM629    ,A ,
SM630    ,A ,
SM631    ,A ,
SM632    ,A ,
SM633    ,A ,
SM634    ,A ,
SM635    ,A ,
SM636    ,A ,
SM637    ,S ,
SM638    ,A ,
SM639    ,A ,
SM640    ,A ,
SM641    ,A ,
SM642    ,S ,
SM643    ,A ,
SM644    ,S ,
SM645    ,A ,
SM646    ,A ,
SM647    ,A ,
SM648    ,A ,
SM649    ,A ,
SM650    ,S ,
SM651    ,S ,
SM652    ,A ,
SM653    ,A ,
SM654    ,A ,
SM655    ,A ,
SM656    ,A ,
SM657    ,A ,
SM658    ,A ,
SM659    ,A ,
SM660    ,S ,
SM661    ,S ,
SM662    ,A ,
SM663    ,A ,
SM664    ,A ,
SM665    ,A ,
SM666    ,S ,
SM667    ,S ,
SM668    ,S ,
SM669    ,A ,
SM670    ,A ,
SM671    ,A ,
SM672    ,A ,
SM673    ,A ,
SM674    ,A ,
SM675    ,A ,
SM676    ,A ,
SM677    ,A ,
SM678    ,A ,
SM679    ,A ,
SM680    ,A ,
SM681    ,A ,
SM682    ,A ,
SM683    ,A ,
SM684    ,A ,
SM685    ,A ,
SM686    ,S ,
SM687    ,A ,
SM688    ,A ,
SM689    ,S ,
SM690    ,A ,
SM691    ,A ,
SM692    ,A ,
